Orden;dd/mm/aa;hora;mm;PSI;Temp;MQGF;MQG;Qpo;QW;Qtotal;Agua;Salind;GOR;GLR;GasAcum;OilAcum;AguaAcum;Arena;AguaRecup
0;23/9/2018;15:00:00;0;2980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;23/9/2018;16:00:00;6;2916;46,55;0;18,3;0;46,26;46,3;100;0;0;395,8;0,8;0;1,9;0;0
2;23/9/2018;17:00:00;6;2901;48,8;0;18,3;0;175,7;175,7;100;0;0;104;1,5;0;9,2;0;0,2
3;23/9/2018;18:00:00;6;2848;50,63;0;17,4;0;180,32;180,3;100;0;0;96,5;2,2;0;16,8;0;0,3
4;23/9/2018;19:00:00;6;2753;51,33;0;15,8;0;171,77;171,8;100;0;0;92,1;2,9;0;23,9;0;0,4
5;23/9/2018;20:00:00;6;2684;51,46;0;15,9;0;150,19;150,2;100;0;0;105,6;3,6;0;30,2;0;0,5
6;23/9/2018;21:00:00;6;2707;51,09;17;15,9;0;176,65;176,7;100;0;0;90,1;4,2;0;37,5;0;0,6
7;23/9/2018;22:00:00;6;2612;52,04;20;16;0;162,92;162,9;100;0;0;98,4;4,9;0;44,3;0;0,7
8;23/9/2018;23:00:00;6;2652;52,44;17;17,6;0;170,51;170,5;100;0;0;103,2;5,6;0;51,4;0;0,9
9;24/9/2018;00:00:00;6;2635;52,12;16,3;16,3;0;176,04;176;100;0;0;92,7;6,3;0;58,8;0;1
10;24/9/2018;01:00:00;6;2639;52,69;26,36;16,4;4,1;153,78;157,9;97,4;0;3994;103,6;7;0,2;65,2;0;1,1
11;24/9/2018;02:00:00;6;2662;52,96;26,53;16,5;0,4;168,61;169;99,8;0;40661;97,8;7,7;0,2;72,2;0;1,2
12;24/9/2018;03:00:00;6;2671;53,57;26,95;17;0,4;165,39;165,8;99,8;0;41113;102,3;8,4;0,2;79,1;0;1,3
13;24/9/2018;04:00:00;8;2630;54,85;31,09;21,1;3,7;202,05;205,7;98,2;0;5776;102,5;9,3;0,4;87,5;0;1,4
14;24/9/2018;05:00:00;8;2510;60,79;39,22;29,2;7,4;271,47;278,9;97,3;0;3941;104,8;10,5;0,7;98,8;0;1,6
15;24/9/2018;06:00:00;8;2621;65,57;39,53;29,5;5,3;291,75;297;98,2;0;5612;99,4;11,7;0,9;111;0;1,8
16;24/9/2018;07:00:00;8;2489;67,45;37,76;27,8;2,7;287,81;290,5;99,1;45,04;10240;95,6;12,9;1;123;0;2
17;24/9/2018;08:00:00;8;2306;68,05;35,6;25,3;0;293,74;293,7;100;45,04;0;86,3;13,9;1;135,2;0;2,2
18;24/9/2018;09:00:00;8;2228;67,89;39,1;24,9;0;282,26;282,3;100;45,04;0;88,1;15;1;147;0;2,4
19;24/9/2018;10:00:00;8;2427;68,05;43,2;27,5;0;316,19;316,2;100;45,04;0;86,9;16,1;1;160,1;0;2,6
20;24/9/2018;11:00:00;8;2581;68,91;43;29,8;0;320,03;320;100;45,04;0;93,1;17,4;1;173,5;0;2,9
21;24/9/2018;12:00:00;8;2544;68,37;43,2;29,3;0;299,28;299,3;100;45,04;0;97,8;18,6;1;185,9;0;3,1
22;24/9/2018;13:00:00;8;2545;69,4;43;29,5;0;296,4;296,4;100;45,04;0;99,5;19,8;1;198,3;0;3,3
23;24/9/2018;14:00:00;8;2550;69,64;38,4;30,4;0;314;314;100;45,04;0;97;21,1;1;211,4;0;3,5
24;24/9/2018;15:00:00;8;2549;69,62;89;30,8;0;320,42;320,4;100;42,7;0;96,1;22,4;1;224,7;10;3,7
25;24/9/2018;16:00:00;8;2529;69,42;101;31,2;0;298,14;298,1;100;42,7;0;104,8;23,7;1;237,2;18;3,9
26;24/9/2018;17:00:00;8;2502;69,61;99,3;31,6;0;297,02;297;100;42,7;0;106,2;25;1;249,5;24;4,1
27;24/9/2018;18:00:00;8;2483;69,53;94;31,2;0;303,61;303,6;100;42,7;0;102,9;26,3;1;262,2;26,5;4,3
28;24/9/2018;19:00:00;8;0;0;0;0;0;0;0;0;42,7;0;0;26,3;1;262,2;26,5;4,3
29;24/9/2018;20:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
30;24/9/2018;21:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
31;24/9/2018;22:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
32;24/9/2018;23:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
33;25/9/2018;00:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
34;25/9/2018;01:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
35;25/9/2018;02:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
36;25/9/2018;03:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
37;25/9/2018;04:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
38;25/9/2018;05:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
39;25/9/2018;06:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
40;25/9/2018;07:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
41;25/9/2018;08:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
42;25/9/2018;09:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
43;25/9/2018;10:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
44;25/9/2018;11:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
45;25/9/2018;12:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
46;25/9/2018;13:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
47;25/9/2018;14:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
48;25/9/2018;15:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
49;25/9/2018;16:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
50;25/9/2018;17:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
51;25/9/2018;18:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
52;25/9/2018;19:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
53;25/9/2018;20:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
54;25/9/2018;21:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
55;25/9/2018;22:00:00;8;0;0;0;0;0;0;0;0;0;0;0;26,3;1;262,2;26,5;4,3
56;25/9/2018;23:00:00;6;3682;-24,95;0;82,6;0;0;0;0;42,7;0;0;29,7;1;262,2;26,5;4,3
57;26/9/2018;00:00:00;6;3487;-2,97;57;52;0;15,27;15,3;100;42,7;0;3402,5;31,9;1;262,8;26,5;4,3
58;26/9/2018;01:00:00;6;3336;34,18;58,3;36,4;2;175,63;177,6;98,9;42,7;18506;205;33,4;1,1;270,1;26,5;4,5
59;26/9/2018;02:00:00;6;3416;40,39;74,9;41,7;0;195,3;195,3;100;42,7;0;213,3;35,1;1,1;278,3;26,5;4,6
60;26/9/2018;03:00:00;8;3192;47,77;107;71,3;0;148,86;148,9;100;42,7;0;479;38,1;1,1;284,5;26,5;4,7
61;26/9/2018;04:00:00;8;2870;55,17;137;64,7;0;214,05;214,1;100;42,7;0;302,4;40,8;1,1;293,4;26,5;4,9
62;26/9/2018;05:00:00;8;2728;59,99;110;52,7;0;280,54;280,5;100;42,7;0;187,7;43;1,1;305,1;26,5;5
63;26/9/2018;06:00:00;8;2692;62,43;102,7;50,2;0;298,21;298,2;100;42,7;0;168,5;45,1;1,1;317,5;26,5;5,3
64;26/9/2018;07:00:00;10;2485;67,09;108;67,9;0,7;401,15;401,8;99,8;42,7;101825;169;47,9;1,1;334,2;26,5;5,5
65;26/9/2018;08:00:00;10;2402;70,07;138;66,5;0,6;380,67;381,3;99,8;42,7;105173;174,3;50,7;1,1;350,1;32,5;5,8
66;26/9/2018;09:00:00;10;2150;70,89;122,5;58;0,9;379,64;380,5;99,8;42,7;65183;152,5;53,1;1,2;365,9;39,5;6,1
